,Chr,Start,Stop,Samples,Sample_indices,Strand,Listing,Listing_subject,High,Low,UniqueIdentifier,pt87_lo_TPM,pt87_lo_Reads,pt214_hi_TPM,pt214_hi_Reads,pt214_lo_TPM,pt214_lo_Reads,pt221_lo_TPM,pt221_lo_Reads,pt226_lo_TPM,pt226_lo_Reads,pt221_hi_TPM,pt221_hi_Reads,pt226_hi_TPM,pt226_hi_Reads,pt212_lo_TPM,pt212_lo_Reads,pt87_hi_TPM,pt87_hi_Reads,pt212_hi_TPM,pt212_hi_Reads,Annotation,Distance to TSS,Nearest Ensembl,Gene Name,Gene Description,Gene Type,Annotations_short,CpG%,GC%,TRA,AIRE,Fezf2,Housekeeping,AIRE_dep_TRA,Fezf2_dep_TRA,other_TRA,Class
204,chr1,3747320,3747325,"pt212_hi,pt221_hi,pt226_hi","pt212_hi_961,pt221_hi_685,pt226_hi_729",-,3,3,3,0,204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.361539671982697,6.0,8.171376620947287,3.0,0.0,0.0,0.0,0.0,34.956879642081205,2.0,promoter-TSS (NR_033710),50,ENSG00000227372,TP73-AS1,TP73 antisense RNA 1,ncRNA,promoter-TSS,0.063333,0.582363,False,False,False,False,False,False,False,High
234,chr1,6419915,6419919,"pt212_hi,pt221_hi,pt226_hi,pt87_hi","pt212_hi_970,pt221_hi_692,pt226_hi_736,pt87_hi_953",-,4,4,4,0,234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.373683214629088,3.0,2.2634907008247382,2.0,0.0,0.0,7.65154102751955,2.0,6.44567608992215,2.0,promoter-TSS (NM_019089),2,ENSG00000069812,HES2,hes family bHLH transcription factor 2,protein-coding,promoter-TSS,0.096667,0.71381,False,True,False,False,False,False,False,High
236,chr1,6424773,6424777,"pt212_hi,pt226_hi,pt87_hi","pt212_hi_36,pt226_hi_20,pt87_hi_36",+,3,3,3,0,236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.629015201152228,3.0,0.0,0.0,42.19946490907911,2.0,18.23636772813922,2.0,promoter-TSS (NM_001367473),-1,ENSG00000187017,ESPN,espin,protein-coding,promoter-TSS,0.101667,0.697171,False,False,False,False,False,False,False,High
246,chr1,6519992,6520001,"pt214_hi,pt87_hi","pt214_hi_1095,pt87_hi_957",-,2,2,2,0,246,0.0,0.0,3.4692258076146496,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9904956678278927,2.0,0.0,0.0,promoter-TSS (NM_198681),64,ENSG00000171680,PLEKHG5,pleckstrin homology and RhoGEF domain containing G5,protein-coding,promoter-TSS,0.023333,0.574043,False,False,False,False,False,False,False,High
312,chr1,8861122,8861152,"pt214_hi,pt87_hi","pt214_hi_1108,pt87_hi_968",-,2,2,2,0,312,0.0,0.0,15.5126306132243,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86256013274368,2.0,0.0,0.0,"3' UTR (NM_001428, exon 12 of 12)",5453,ENSG00000274258,MIR6728,microRNA 6728,ncRNA,3' UTR,0.025,0.522463,False,False,False,False,False,False,False,High
352,chr1,9730435,9730444,"pt214_hi,pt87_hi","pt214_hi_1118,pt87_hi_982",-,2,2,2,0,352,0.0,0.0,2.312712457125506,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.926985967245283,2.0,0.0,0.0,"3' UTR (NM_001302883, exon 18 of 18)",38973,ENSG00000171608,PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",protein-coding,3' UTR,0.051667,0.610649,False,False,False,False,False,False,False,High
377,chr1,10460832,10460849,"pt212_hi,pt226_hi","pt212_hi_989,pt226_hi_760",-,2,2,2,0,377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.879438443396931,5.0,0.0,0.0,0.0,0.0,9.58608828519194,3.0,"3' UTR (NM_004401, exon 6 of 6)",10810,ENSG00000241563,CORT,cortistatin,protein-coding,3' UTR,0.033333,0.50416,False,False,False,False,False,False,False,High
382,chr1,10694445,10694450,"pt212_hi,pt214_hi","pt212_hi_993,pt214_hi_1126",-,2,2,2,0,382,0.0,0.0,3.276140873770281,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.330190241622392,2.0,"intron (NM_001079843, intron 3 of 20)",102198,ENSG00000130940,CASZ1,castor zinc finger 1,protein-coding,intron,0.165,0.767055,False,False,False,False,False,False,False,High
405,chr1,11655046,11655080,"pt212_hi,pt214_hi","pt212_hi_59,pt214_hi_61",+,2,2,2,0,405,0.0,0.0,3.84754711922236,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.066495826845052,2.0,promoter-TSS (NM_012168),186,ENSG00000132879,FBXO44,F-box protein 44,protein-coding,promoter-TSS,0.106667,0.747088,False,False,False,False,False,False,False,High
423,chr1,11848166,11848175,"pt214_hi,pt221_hi,pt226_hi","pt214_hi_1135,pt221_hi_723,pt226_hi_769",-,3,3,3,0,423,0.0,0.0,32.7279158821047,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.351662411481492,3.0,2.672161987818479,2.0,0.0,0.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_006172),-388,ENSG00000175206,NPPA,natriuretic peptide A,protein-coding,promoter-TSS,0.033333,0.557404,True,True,True,False,True,True,False,High
431,chr1,11980209,11980238,"pt214_hi,pt87_hi","pt214_hi_66,pt87_hi_73",+,2,2,2,0,431,0.0,0.0,3.480318963371468,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.515932929104662,3.0,0.0,0.0,promoter-TSS (NM_014874),43,ENSG00000116688,MFN2,mitofusin 2,protein-coding,promoter-TSS,0.075,0.620632,False,False,False,False,False,False,False,High
525,chr1,15974893,15974926,"pt214_hi,pt87_hi","pt214_hi_1142,pt87_hi_1011",-,2,2,2,0,525,0.0,0.0,2.2710346664040695,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.851766124406184,2.0,0.0,0.0,"intron (NM_001287603, intron 1 of 15)",1222,ENSG00000116809,ZBTB17,zinc finger and BTB domain containing 17,protein-coding,intron,0.021667,0.489185,False,False,False,True,False,False,False,High
602,chr1,19339508,19339531,"pt226_hi,pt87_hi","pt226_hi_795,pt87_hi_1035",-,2,2,2,0,602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.463147981346181,4.0,0.0,0.0,3.293426597789196,3.0,0.0,0.0,"3' UTR (NM_001206541, exon 9 of 9)",27194,ENSG00000040487,SLC66A1,solute carrier family 66 member 1,protein-coding,3' UTR,0.02,0.557404,False,False,False,True,False,False,False,High
622,chr1,19799700,19799718,"pt212_hi,pt87_hi","pt212_hi_1037,pt87_hi_1038",-,2,2,2,0,622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65796728568414,2.0,2.84234631268614,2.0,promoter-TSS (NM_001349115),207,ENSG00000162542,TMCO4,transmembrane and coiled-coil domains 4,protein-coding,promoter-TSS,0.111667,0.760399,False,False,False,False,False,False,False,High
627,chr1,20080764,20080771,"pt212_hi,pt226_hi","pt212_hi_92,pt226_hi_70",+,2,2,2,0,627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86905677885744,2.0,0.0,0.0,0.0,0.0,6.493147587611082,2.0,"intron (NM_000929, intron 1 of 4)",10574,ENSG00000127472,PLA2G5,phospholipase A2 group V,protein-coding,intron,0.011667,0.52579,False,True,False,False,False,False,False,High
628,chr1,20119535,20119537,"pt212_hi,pt226_hi,pt87_hi","pt212_hi_1039,pt226_hi_801,pt87_hi_1040",-,3,3,3,0,628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.460036349658352,3.0,0.0,0.0,5.941054045318509,2.0,10.76365880168776,2.0,promoter-TSS (NM_001271814),0,ENSG00000117215,PLA2G2D,phospholipase A2 group IID,protein-coding,promoter-TSS,0.008333,0.490849,True,False,False,False,False,False,True,High
631,chr1,20484689,20484705,"pt212_hi,pt87_hi","pt212_hi_1040,pt87_hi_1041",-,2,2,2,0,631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05599268563978,2.0,3.610324545523844,3.0,"intron (NM_018584, intron 1 of 1)",1513,ENSG00000162545,CAMK2N1,calcium/calmodulin dependent protein kinase II inhibitor 1,protein-coding,intron,0.075,0.660566,False,True,False,False,False,False,False,High
663,chr1,21239850,21239861,"pt226_hi,pt87_hi","pt226_hi_810,pt87_hi_1051",-,2,2,2,0,663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9208235501225746,3.0,0.0,0.0,5.7280842916935635,3.0,0.0,0.0,"intron (NM_001113347, intron 8 of 16)",39759,ENSG00000117298,ECE1,endothelin converting enzyme 1,protein-coding,intron,0.015,0.477537,False,False,False,False,False,False,False,High
664,chr1,21262083,21262088,"pt212_hi,pt87_hi","pt212_hi_97,pt87_hi_108",+,2,2,2,0,664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.63798206273939,2.0,5.8183829307375525,2.0,"intron (NM_001113347, intron 2 of 16)",17529,ENSG00000117298,ECE1,endothelin converting enzyme 1,protein-coding,intron,0.028333,0.559068,False,False,False,False,False,False,False,High
681,chr1,21606175,21606201,"pt212_hi,pt214_hi","pt212_hi_1056,pt214_hi_1189",-,2,2,2,0,681,0.0,0.0,3.56272817615699,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.47505389920659,2.0,"exon (NM_001350527, exon 20 of 27)",45710,ENSG00000076864,RAP1GAP,RAP1 GTPase activating protein,protein-coding,exon,0.021667,0.587354,False,False,False,False,False,False,False,High
684,chr1,21783166,21783175,"pt212_hi,pt87_hi","pt212_hi_1057,pt87_hi_1062",-,2,2,2,0,684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4080967577211005,2.0,25.375402857254045,3.0,promoter-TSS (NM_001350168),-22,ENSG00000090686,USP48,ubiquitin specific peptidase 48,protein-coding,promoter-TSS,0.1,0.627288,False,False,False,False,False,False,False,High
698,chr1,22092642,22092657,"pt214_hi,pt87_hi","pt214_hi_114,pt87_hi_118",+,2,2,2,0,698,0.0,0.0,2.276288769828789,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98260835123816,4.0,0.0,0.0,"3' UTR (NM_001791, exon 6 of 6)",39941,ENSG00000070831,CDC42,cell division cycle 42,protein-coding,3' UTR,0.003333,0.414309,False,False,False,True,False,False,False,High
699,chr1,22092770,22092804,"pt226_hi,pt87_hi","pt226_hi_75,pt87_hi_119",+,2,2,2,0,699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89871683726784,2.0,0.0,0.0,2.6481453824539583,3.0,0.0,0.0,"3' UTR (NM_001791, exon 6 of 6)",40078,ENSG00000070831,CDC42,cell division cycle 42,protein-coding,3' UTR,0.001667,0.391015,False,False,False,True,False,False,False,High
702,chr1,22143087,22143103,"pt221_hi,pt226_hi","pt221_hi_759,pt226_hi_815",-,2,2,2,0,702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5552952800853745,7.0,2.639420316569332,3.0,0.0,0.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_030761),2,ENSG00000162552,WNT4,Wnt family member 4,protein-coding,promoter-TSS,0.156667,0.845258,False,False,False,False,False,False,False,High
707,chr1,22653236,22653239,"pt214_hi,pt221_hi","pt214_hi_117,pt221_hi_79",+,2,2,2,0,707,0.0,0.0,6.721354269453889,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9055584407320496,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_000491),2,ENSG00000173369,C1QB,complement C1q B chain,protein-coding,promoter-TSS,0.025,0.599002,False,True,False,False,False,False,False,High
711,chr1,23019507,23019533,"pt212_hi,pt214_hi","pt212_hi_104,pt214_hi_120,pt214_hi_121",+,2,2,2,0,711,0.0,0.0,8.796826456926508,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.39166786713442,2.0,promoter-TSS (NM_001009999),52,ENSG00000004487,KDM1A,lysine demethylase 1A,protein-coding,promoter-TSS,0.091667,0.575707,False,False,False,False,False,False,False,High
723,chr1,23693871,23693875,"pt221_hi,pt87_hi","pt221_hi_85,pt87_hi_124",+,2,2,2,0,723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.537866070121474,2.0,0.0,0.0,0.0,0.0,8.73797617033587,2.0,0.0,0.0,"exon (NM_000975, exon 3 of 6)",2067,ENSG00000142676,RPL11,ribosomal protein L11,protein-coding,exon,0.008333,0.420965,False,False,False,True,False,False,False,High
726,chr1,23695429,23695430,"pt214_hi,pt226_hi","pt214_hi_125,pt226_hi_85",+,2,2,2,0,726,0.0,0.0,3.9099789701064296,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93151918745754,2.0,0.0,0.0,0.0,0.0,0.0,0.0,"intron (NM_001199802, intron 4 of 5)",3624,ENSG00000142676,RPL11,ribosomal protein L11,protein-coding,intron,0.003333,0.437604,False,False,False,True,False,False,False,High
762,chr1,24319456,24319475,"pt212_hi,pt214_hi,pt226_hi","pt212_hi_117,pt214_hi_136,pt226_hi_94",+,3,3,3,0,762,0.0,0.0,7.88220386433561,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.109081955314764,3.0,0.0,0.0,0.0,0.0,11.332874543927279,3.0,"5' UTR (NM_001195010, exon 1 of 16)",109,ENSG00000158055,GRHL3,grainyhead like transcription factor 3,protein-coding,5' UTR,0.021667,0.497504,False,False,False,False,False,False,False,High
816,chr1,25483965,25483982,"pt214_hi,pt226_hi","pt214_hi_149,pt226_hi_101",+,2,2,2,0,816,0.0,0.0,4.447144912547881,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.40009710503017,2.0,0.0,0.0,0.0,0.0,0.0,0.0,"intron (NM_018202, intron 6 of 10)",53077,ENSG00000204178,MACO1,macoilin 1,protein-coding,intron,0.015,0.472546,False,False,False,True,False,False,False,High
818,chr1,25484159,25484167,"pt212_hi,pt214_hi,pt221_hi","pt212_hi_128,pt214_hi_150,pt221_hi_96",+,3,3,3,0,818,0.0,0.0,2.5315634295208813,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5642195342030503,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.620411490049069,3.0,"exon (NM_001282564, exon 5 of 9)",53266,ENSG00000204178,MACO1,macoilin 1,protein-coding,exon,0.016667,0.502496,False,False,False,True,False,False,False,High
854,chr1,26281209,26281238,"pt214_hi,pt221_hi,pt87_hi","pt214_hi_161,pt221_hi_105,pt87_hi_151",+,3,3,3,0,854,0.0,0.0,3.84401455800686,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9127103799434835,8.0,0.0,0.0,0.0,0.0,7.072220239655053,3.0,0.0,0.0,"3' UTR (NM_031286, exon 3 of 3)",1138,ENSG00000142669,SH3BGRL3,SH3 domain binding glutamate rich protein like 3,protein-coding,3' UTR,0.016667,0.584027,False,False,False,False,False,False,False,High
860,chr1,26317929,26317930,"pt221_hi,pt87_hi","pt221_hi_106,pt87_hi_152",+,2,2,2,0,860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.94577115526558,2.0,0.0,0.0,0.0,0.0,8.34132203489089,2.0,0.0,0.0,promoter-TSS (NM_001803),-28,ENSG00000169442,CD52,CD52 molecule,protein-coding,promoter-TSS,0.011667,0.49584,False,False,False,False,False,False,False,High
863,chr1,26354114,26354130,"pt214_hi,pt226_hi","pt214_hi_1214,pt226_hi_835",-,2,2,2,0,863,0.0,0.0,7.87798547629483,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.813563297648034,5.0,0.0,0.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_001039775),8,ENSG00000176092,CRYBG2,crystallin beta-gamma domain containing 2,protein-coding,promoter-TSS,0.026667,0.663894,False,True,False,False,False,False,False,High
884,chr1,26863746,26863755,"pt221_hi,pt226_hi","pt221_hi_114,pt226_hi_110",+,2,2,2,0,884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6119603626305854,6.0,2.267869493058901,4.0,0.0,0.0,0.0,0.0,0.0,0.0,"exon (NM_006142, exon 1 of 1)",602,ENSG00000175793,SFN,stratifin,protein-coding,exon,0.06,0.618968,False,False,False,False,False,False,False,High
899,chr1,26945609,26945615,"pt212_hi,pt226_hi","pt212_hi_149,pt226_hi_117",+,2,2,2,0,899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.294194251268664,4.0,0.0,0.0,0.0,0.0,4.580766589319992,2.0,"exon (NM_006600, exon 8 of 9)",14856,ENSG00000175707,KDF1,keratinocyte differentiation factor 1,protein-coding,exon,0.013333,0.524126,False,False,False,False,False,False,False,High
922,chr1,27356857,27356872,"pt212_hi,pt214_hi,pt87_hi","pt212_hi_1086,pt214_hi_1220,pt87_hi_1101",-,3,3,3,0,922,0.0,0.0,6.51069801281417,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5566926669257377,2.0,4.350059620182352,2.0,"intron (NM_001297609, intron 23 of 27)",10096,ENSG00000142733,MAP3K6,mitogen-activated protein kinase kinase kinase 6,protein-coding,intron,0.053333,0.647255,False,True,False,False,False,False,False,High
942,chr1,27635182,27635187,"pt212_hi,pt214_hi","pt212_hi_1089,pt214_hi_1226",-,2,2,2,0,942,0.0,0.0,3.222855913504576,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.663110481133009,3.0,promoter-TSS (NM_005248),0,ENSG00000000938,FGR,"FGR proto-oncogene, Src family tyrosine kinase",protein-coding,promoter-TSS,0.048333,0.640599,False,True,False,False,False,False,False,High
997,chr1,28538782,28538799,"pt212_hi,pt226_hi,pt87_hi","pt212_hi_163,pt226_hi_128,pt87_hi_179",+,3,3,3,0,997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.794809070489028,5.0,0.0,0.0,8.952580914470083,2.0,19.057688150367493,3.0,"non-coding (NR_030725, exon 13 of 13)",-14226,ENSG00000180098,TRNAU1AP,tRNA selenocysteine 1 associated protein 1,protein-coding,non-coding,0.013333,0.512479,False,False,False,True,False,False,False,High
1012,chr1,28592263,28592277,"pt221_hi,pt226_hi","pt221_hi_130,pt226_hi_131",+,2,2,2,0,1012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5197252027131927,3.0,2.848279864732616,2.0,0.0,0.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_001193532),5,ENSG00000188060,RAB42,"RAB42, member RAS oncogene family",protein-coding,promoter-TSS,0.021667,0.560732,False,False,False,False,False,False,False,High
1045,chr1,29181952,29181963,"pt214_hi,pt87_hi","pt214_hi_1243,pt87_hi_1125",-,2,2,2,0,1045,0.0,0.0,3.0789981006967526,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.58091944154968,2.0,0.0,0.0,promoter-TSS (NM_005626),-58,ENSG00000116350,SRSF4,serine and arginine rich splicing factor 4,protein-coding,promoter-TSS,0.096667,0.589018,False,False,False,True,False,False,False,High
1054,chr1,30732850,30732865,"pt226_hi,pt87_hi","pt226_hi_861,pt87_hi_1127",-,2,2,2,0,1054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.573104820250495,2.0,0.0,0.0,9.257813708808506,2.0,0.0,0.0,"3' UTR (NM_006762, exon 8 of 8)",6374,ENSG00000264773,MIR4420,microRNA 4420,ncRNA,3' UTR,0.011667,0.391015,False,False,False,False,False,False,False,High
1059,chr1,30746341,30746357,"pt214_hi,pt87_hi","pt214_hi_1249,pt87_hi_1129",-,2,2,2,0,1059,0.0,0.0,4.01113229798392,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.15482099884124,4.0,0.0,0.0,"intron (NM_006762, intron 1 of 7)",-7117,ENSG00000264773,MIR4420,microRNA 4420,ncRNA,intron,0.015,0.589018,False,False,False,False,False,False,False,High
1093,chr1,31666558,31666562,"pt212_hi,pt214_hi,pt221_hi,pt226_hi","pt212_hi_1118,pt214_hi_1260,pt221_hi_807,pt226_hi_871",-,4,4,4,0,1093,0.0,0.0,18.48854643664161,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4086783621555,2.0,3.3986171496569,2.0,0.0,0.0,0.0,0.0,22.334267623381496,2.0,"intron (NM_001856, intron 52 of 70)",-21684,ENSG00000162517,PEF1,penta-EF-hand domain containing 1,protein-coding,intron,0.01,0.567388,False,False,False,True,False,False,False,High
1097,chr1,31669703,31669720,"pt212_hi,pt214_hi","pt212_hi_1121,pt214_hi_1264",-,2,2,2,0,1097,0.0,0.0,3.526028244225662,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.866320819875802,3.0,"intron (NM_001856, intron 49 of 70)",-24836,ENSG00000162517,PEF1,penta-EF-hand domain containing 1,protein-coding,intron,0.03,0.595674,False,False,False,True,False,False,False,High
