,Chr,Start,Stop,Samples,Sample_indices,Strand,Listing,Listing_subject,High,Low,UniqueIdentifier,pt87_lo_TPM,pt87_lo_Reads,pt214_hi_TPM,pt214_hi_Reads,pt214_lo_TPM,pt214_lo_Reads,pt221_lo_TPM,pt221_lo_Reads,pt226_lo_TPM,pt226_lo_Reads,pt221_hi_TPM,pt221_hi_Reads,pt226_hi_TPM,pt226_hi_Reads,pt212_lo_TPM,pt212_lo_Reads,pt87_hi_TPM,pt87_hi_Reads,pt212_hi_TPM,pt212_hi_Reads,Annotation,Distance to TSS,Nearest Ensembl,Gene Name,Gene Description,Gene Type,Annotations_short,CpG%,GC%,TRA,AIRE,Fezf2,Housekeeping,AIRE_dep_TRA,Fezf2_dep_TRA,other_TRA,Class
218,chr1,6185707,6185716,"pt212_lo,pt87_lo","pt212_lo_943,pt87_lo_1071",-,2,2,0,2,218,10.664429497302354,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9595002677035462,2.0,0.0,0.0,0.0,0.0,"3' UTR (NM_000983, exon 4 of 4)",-5391,ENSG00000116254,CHD5,chromodomain helicase DNA binding protein 5,protein-coding,3' UTR,0.011667,0.467554,True,True,False,False,True,False,False,Low
223,chr1,6186592,6186595,"pt226_lo,pt87_lo","pt226_lo_720,pt87_lo_1072",-,2,2,0,2,223,4.91865137935972,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.871951523763416,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3' UTR (NM_000983, exon 4 of 4)",-6273,ENSG00000116254,CHD5,chromodomain helicase DNA binding protein 5,protein-coding,3' UTR,0.02,0.404326,True,True,False,False,True,False,False,Low
261,chr1,7784291,7784318,"pt212_lo,pt87_lo","pt212_lo_40,pt87_lo_43",+,2,2,0,2,261,3.278190979022221,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4139951903522,2.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_001289862),118,ENSG00000049246,PER3,period circadian regulator 3,protein-coding,promoter-TSS,0.133333,0.78203,False,False,False,False,False,False,False,Low
364,chr1,9997185,9997204,"pt214_lo,pt226_lo,pt87_lo","pt214_lo_46,pt226_lo_46,pt87_lo_52",+,3,3,0,3,364,4.772768226073622,4.0,0.0,0.0,2.379938747407377,3.0,0.0,0.0,7.356510730492027,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_052960),-33,ENSG00000162444,RBP7,retinol binding protein 7,protein-coding,promoter-TSS,0.06,0.584027,False,True,False,False,False,False,False,Low
381,chr1,10495260,10495295,"pt214_lo,pt87_lo","pt214_lo_51,pt87_lo_57",+,2,2,0,2,381,4.713985866497668,3.0,0.0,0.0,6.496918584443639,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"exon (NM_004565, exon 2 of 9)",20328,ENSG00000142655,PEX14,peroxisomal biogenesis factor 14,protein-coding,exon,0.023333,0.497504,False,False,False,True,False,False,False,Low
408,chr1,11664328,11664343,"pt214_lo,pt221_lo","pt214_lo_57,pt221_lo_47",+,2,2,0,2,408,0.0,0.0,0.0,0.0,3.00668241072548,2.0,2.5160024272444153,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"intron (NM_018438, intron 1 of 5)",136,ENSG00000116663,FBXO6,F-box protein 6,protein-coding,intron,0.093333,0.693844,False,False,False,True,False,False,False,Low
410,chr1,11680931,11680945,"pt212_lo,pt214_lo","pt212_lo_971,pt214_lo_1092",-,2,2,0,2,410,0.0,0.0,0.0,0.0,12.079703940377208,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.281982779361811,2.0,0.0,0.0,0.0,0.0,"intron (NM_001127325, intron 1 of 8)",210,ENSG00000116670,MAD2L2,mitotic arrest deficient 2 like 2,protein-coding,intron,0.125,0.715474,False,False,False,True,False,False,False,Low
468,chr1,14175374,14175390,"pt212_lo,pt87_lo","pt212_lo_71,pt87_lo_78",+,2,2,0,2,468,3.4536310527415695,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0759943179347404,3.0,0.0,0.0,0.0,0.0,Intergenic,244591,,KAZN-AS1,KAZN antisense RNA 1,ncRNA,Intergeni,0.033333,0.510815,False,False,False,False,False,False,False,Low
509,chr1,15524354,15524365,"pt221_lo,pt87_lo","pt221_lo_722,pt87_lo_1125",-,2,2,0,2,509,7.774471838091849,2.0,0.0,0.0,0.0,0.0,2.5934670673405935,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_001278054),85,ENSG00000132906,CASP9,caspase 9,protein-coding,promoter-TSS,0.118333,0.742097,False,False,False,True,False,False,False,Low
511,chr1,15524895,15524911,"pt214_lo,pt87_lo","pt214_lo_1099,pt87_lo_1127",-,2,2,0,2,511,12.161718047826419,4.0,0.0,0.0,6.034642827483649,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_032996),-113,ENSG00000132906,CASP9,caspase 9,protein-coding,promoter-TSS,0.083333,0.680532,False,False,False,True,False,False,False,Low
518,chr1,15834859,15834861,"pt221_lo,pt226_lo","pt221_lo_724,pt226_lo_757",-,2,2,0,2,518,0.0,0.0,0.0,0.0,0.0,0.0,2.81209540219788,3.0,4.274602197400587,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"non-coding (NR_024279, exon 2 of 2)",-12847,ENSG00000065526,SPEN,spen family transcriptional repressor,protein-coding,non-coding,0.125,0.702163,False,False,False,True,False,False,False,Low
520,chr1,15835842,15835876,"pt212_lo,pt87_lo","pt212_lo_981,pt87_lo_1128",-,2,2,0,2,520,3.26466812272754,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.901890872888032,4.0,0.0,0.0,0.0,0.0,"non-coding (NR_024279, exon 2 of 2)",-11848,ENSG00000065526,SPEN,spen family transcriptional repressor,protein-coding,non-coding,0.096667,0.608985,False,False,False,True,False,False,False,Low
532,chr1,16155010,16155019,"pt214_lo,pt87_lo","pt214_lo_1102,pt87_lo_1131",-,2,2,0,2,532,6.402467561830729,2.0,0.0,0.0,2.7425052352304142,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"intron (NM_004431, intron 1 of 16)",1054,ENSG00000142627,EPHA2,EPH receptor A2,protein-coding,intron,0.061667,0.657238,False,False,False,False,False,False,False,Low
548,chr1,16499250,16499269,"pt212_lo,pt87_lo","pt212_lo_987,pt87_lo_1137",-,2,2,0,2,548,3.42226861518901,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.645577359514985,4.0,0.0,0.0,0.0,0.0,Intergenic,-6559,ENSG00000080947,CROCCP3,CROCC pseudogene 3,pseudo,Intergeni,0.11,0.708819,False,False,False,False,False,False,False,Low
558,chr1,16960861,16960884,"pt214_lo,pt226_lo,pt87_lo","pt214_lo_81,pt226_lo_78,pt87_lo_102",+,3,3,0,3,558,4.7507653065314,2.0,0.0,0.0,3.66531795721395,2.0,0.0,0.0,2.3093154352461567,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"exon (NM_014675, exon 27 of 37)",19747,ENSG00000117122,MFAP2,microfibril associated protein 2,protein-coding,exon,0.045,0.547421,False,False,False,False,False,False,False,Low
604,chr1,19385539,19385548,"pt214_lo,pt221_lo","pt214_lo_1122,pt221_lo_745",-,2,2,0,2,604,0.0,0.0,0.0,0.0,8.95931494312667,2.0,2.482425875227896,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"exon (NM_001206541, exon 4 of 9)",73218,ENSG00000040487,SLC66A1,solute carrier family 66 member 1,protein-coding,exon,0.016667,0.472546,False,False,False,True,False,False,False,Low
624,chr1,19799916,19799937,"pt214_lo,pt87_lo","pt214_lo_1127,pt87_lo_1160",-,2,2,0,2,624,3.41900201738284,2.0,0.0,0.0,2.862048849592412,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_001349115),-11,ENSG00000162542,TMCO4,transmembrane and coiled-coil domains 4,protein-coding,promoter-TSS,0.098333,0.680532,False,False,False,False,False,False,False,Low
651,chr1,21176883,21176897,"pt221_lo,pt226_lo","pt221_lo_753,pt226_lo_791",-,2,2,0,2,651,0.0,0.0,0.0,0.0,0.0,0.0,5.326145323823172,4.0,5.7114574594395355,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_001198801),7,ENSG00000075151,EIF4G3,eukaryotic translation initiation factor 4 gamma 3,protein-coding,promoter-TSS,0.098333,0.640599,False,False,False,True,False,False,False,Low
689,chr1,22001655,22001660,"pt212_lo,pt214_lo,pt221_lo,pt226_lo,pt87_lo","pt212_lo_97,pt214_lo_96,pt221_lo_77,pt226_lo_91,pt87_lo_119",+,5,5,0,5,689,10.452288895343212,4.0,0.0,0.0,11.322609017349368,5.0,7.176564704913665,4.0,8.62672509112949,2.0,0.0,0.0,0.0,0.0,7.080169136548484,4.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_005747),1,ENSG00000142789,CELA3A,chymotrypsin like elastase 3A,protein-coding,promoter-TSS,0.015,0.529118,False,True,True,False,False,False,False,Low
703,chr1,22451839,22451859,"pt212_lo,pt214_lo","pt212_lo_104,pt214_lo_102",+,2,2,0,2,703,0.0,0.0,0.0,0.0,13.265752973411264,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.489678775743355,3.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_001330398),-2,ENSG00000184677,ZBTB40,zinc finger and BTB domain containing 40,protein-coding,promoter-TSS,0.066667,0.595674,False,False,False,False,False,False,False,Low
714,chr1,23344241,23344265,"pt212_lo,pt214_lo","pt212_lo_1022,pt214_lo_1142",-,2,2,0,2,714,0.0,0.0,0.0,0.0,24.17228064681912,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.77273064001913,3.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_001102398),31,ENSG00000125944,HNRNPR,heterogeneous nuclear ribonucleoprotein R,protein-coding,promoter-TSS,0.103333,0.700499,False,False,False,False,False,False,False,Low
759,chr1,24187257,24187286,"pt212_lo,pt87_lo","pt212_lo_1036,pt87_lo_1181",-,2,2,0,2,759,2.6213183408457312,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.151921818220831,2.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_170743),17,ENSG00000185436,IFNLR1,interferon lambda receptor 1,protein-coding,promoter-TSS,0.095,0.677205,False,False,False,False,False,False,False,Low
807,chr1,25338164,25338165,"pt212_lo,pt214_lo","pt212_lo_1045,pt214_lo_1157",-,2,2,0,2,807,0.0,0.0,0.0,0.0,2.8042913752624608,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.71806818436076,2.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_001321772),89,ENSG00000117616,RSRP1,arginine and serine rich protein 1,protein-coding,promoter-TSS,0.106667,0.682196,False,False,False,False,False,False,False,Low
833,chr1,25876918,25876935,"pt226_lo,pt87_lo","pt226_lo_808,pt87_lo_1192",-,2,2,0,2,833,8.939578529152866,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.308197930561846,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Intergenic,-5674,ENSG00000182749,PAQR7,progestin and adipoQ receptor family member 7,protein-coding,Intergeni,0.006667,0.404326,False,False,False,False,False,False,False,Low
841,chr1,26067630,26067634,"pt212_lo,pt214_lo","pt212_lo_1052,pt214_lo_1164",-,2,2,0,2,841,0.0,0.0,0.0,0.0,8.941664024952836,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5201958004006624,2.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_032588),2,ENSG00000158022,TRIM63,tripartite motif containing 63,protein-coding,promoter-TSS,0.018333,0.509151,True,False,False,False,False,False,True,Low
851,chr1,26234200,26234218,"pt212_lo,pt214_lo","pt212_lo_137,pt214_lo_133",+,2,2,0,2,851,0.0,0.0,0.0,0.0,3.511852581025091,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.852594926322122,2.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_001281517),9,ENSG00000130695,CEP85,centrosomal protein 85,protein-coding,promoter-TSS,0.08,0.650582,False,False,False,False,False,False,False,Low
893,chr1,26890310,26890314,"pt212_lo,pt214_lo,pt221_lo","pt212_lo_1054,pt214_lo_1168,pt221_lo_775",-,3,3,0,3,893,0.0,0.0,0.0,0.0,2.5338260396133334,2.0,2.326176312123229,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0731057527466,2.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_018066),-29,ENSG00000142751,GPN2,GPN-loop GTPase 2,protein-coding,promoter-TSS,0.071667,0.580699,False,False,False,True,False,False,False,Low
916,chr1,27343136,27343145,"pt214_lo,pt226_lo","pt214_lo_153,pt226_lo_128",+,2,2,0,2,916,0.0,0.0,0.0,0.0,2.718825299922584,3.0,0.0,0.0,2.6670888470627867,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"intron (NM_032872, intron 1 of 14)",1119,ENSG00000142765,SYTL1,synaptotagmin like 1,protein-coding,intron,0.04,0.615641,False,False,False,False,False,False,False,Low
957,chr1,27725975,27725996,"pt212_lo,pt87_lo","pt212_lo_158,pt87_lo_181",+,2,2,0,2,957,3.43988851211391,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61562671119868,2.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_001143912),25,ENSG00000009780,FAM76A,family with sequence similarity 76 member A,protein-coding,promoter-TSS,0.101667,0.665557,False,False,False,False,False,False,False,Low
988,chr1,28498410,28498412,"pt214_lo,pt87_lo","pt214_lo_161,pt87_lo_187",+,2,2,0,2,988,8.260191843714692,2.0,0.0,0.0,5.32808612878094,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3' UTR (NM_001350161, exon 15 of 15)",-7532,ENSG00000242125,SNHG3,small nucleolar RNA host gene 3,ncRNA,3' UTR,0.015,0.467554,False,False,False,False,False,False,False,Low
1026,chr1,28737750,28737754,"pt212_lo,pt214_lo","pt212_lo_177,pt214_lo_172",+,2,2,0,2,1026,0.0,0.0,0.0,0.0,3.1746038052173478,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.214694518463211,2.0,0.0,0.0,0.0,0.0,"intron (NM_001173128, intron 3 of 5)",812,ENSG00000198492,YTHDF2,YTH N6-methyladenosine RNA binding protein 2,protein-coding,intron,0.09,0.643927,False,False,False,True,False,False,False,Low
1027,chr1,28737815,28737824,"pt212_lo,pt87_lo","pt212_lo_178,pt87_lo_197",+,2,2,0,2,1027,2.66243007942998,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7796315827122315,2.0,0.0,0.0,0.0,0.0,"intron (NM_001173128, intron 3 of 5)",880,ENSG00000198492,YTHDF2,YTH N6-methyladenosine RNA binding protein 2,protein-coding,intron,0.081667,0.612313,False,False,False,True,False,False,False,Low
1030,chr1,28887100,28887148,"pt212_lo,pt214_lo,pt87_lo","pt212_lo_180,pt214_lo_173,pt87_lo_198",+,3,3,0,3,1030,3.09770126312365,2.0,0.0,0.0,4.536200028955964,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.95807376905334,2.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_203342),24,ENSG00000159023,EPB41,erythrocyte membrane protein band 4.1,protein-coding,promoter-TSS,0.06,0.608985,False,False,False,False,False,False,False,Low
1062,chr1,30757819,30757822,"pt212_lo,pt226_lo,pt87_lo","pt212_lo_1084,pt226_lo_840,pt87_lo_1244",-,3,3,0,3,1062,8.37287432504654,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.293791075224947,2.0,0.0,0.0,0.0,0.0,6.169880336712305,3.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_006762),-47,ENSG00000162511,LAPTM5,lysosomal protein transmembrane 5,protein-coding,promoter-TSS,0.01,0.569052,False,False,False,False,False,False,False,Low
1083,chr1,31639734,31639746,"pt214_lo,pt87_lo","pt214_lo_1205,pt87_lo_1251",-,2,2,0,2,1083,2.7440637851995775,2.0,0.0,0.0,2.3474991661653895,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"intron (NM_012392, intron 1 of 4)",4877,ENSG00000162517,PEF1,penta-EF-hand domain containing 1,protein-coding,intron,0.005,0.477537,False,False,False,True,False,False,False,Low
1129,chr1,32072925,32072945,"pt212_lo,pt226_lo","pt212_lo_186,pt226_lo_145",+,2,2,0,2,1129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8477813075252265,3.0,0.0,0.0,0.0,0.0,9.86005504860293,4.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_018056),-4,ENSG00000121775,TMEM39B,transmembrane protein 39B,protein-coding,promoter-TSS,0.086667,0.635607,False,False,False,False,False,False,False,Low
1161,chr1,32222530,32222536,"pt214_lo,pt87_lo","pt214_lo_208,pt87_lo_220",+,2,2,0,2,1161,2.474661050880731,2.0,0.0,0.0,2.707952714019003,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,promoter-TSS (NR_133635),-162,ENSG00000160055,TMEM234,transmembrane protein 234,protein-coding,promoter-TSS,0.063333,0.615641,False,False,False,False,False,False,False,Low
1221,chr1,33081153,33081161,"pt212_lo,pt226_lo,pt87_lo","pt212_lo_210,pt226_lo_161,pt87_lo_231",+,3,3,0,3,1221,2.4740532533461734,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.649717865385045,3.0,0.0,0.0,0.0,0.0,3.0651494259879684,3.0,0.0,0.0,0.0,0.0,promoter-TSS (NR_146648),4,ENSG00000142920,AZIN2,antizyme inhibitor 2,protein-coding,promoter-TSS,0.063333,0.584027,False,False,False,False,False,False,False,Low
1265,chr1,35187241,35187245,"pt212_lo,pt87_lo","pt212_lo_1130,pt87_lo_1283",-,2,2,0,2,1265,2.75465351364112,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.961127898264288,3.0,0.0,0.0,0.0,0.0,"non-coding (NR_136702, exon 8 of 12)",5902,ENSG00000116560,SFPQ,splicing factor proline and glutamine rich,protein-coding,non-coding,0.015,0.427621,False,False,False,False,False,False,False,Low
1267,chr1,35189005,35189015,"pt212_lo,pt87_lo","pt212_lo_1132,pt87_lo_1284",-,2,2,0,2,1267,2.74328605227784,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.129655393550769,2.0,0.0,0.0,0.0,0.0,"non-coding (NR_136702, exon 6 of 12)",4135,ENSG00000116560,SFPQ,splicing factor proline and glutamine rich,protein-coding,non-coding,0.02,0.372712,False,False,False,False,False,False,False,Low
1278,chr1,35557799,35557820,"pt212_lo,pt214_lo,pt221_lo,pt87_lo","pt212_lo_215,pt214_lo_220,pt221_lo_162,pt87_lo_236",+,4,4,0,4,1278,2.688377125113654,2.0,0.0,0.0,8.079207331345328,5.0,3.7095553765558793,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.990774180467536,2.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_024874),11,ENSG00000020129,NCDN,neurochondrin,protein-coding,promoter-TSS,0.078333,0.688852,False,False,False,False,False,False,False,Low
1283,chr1,35883209,35883219,"pt212_lo,pt214_lo,pt87_lo","pt212_lo_216,pt214_lo_221,pt87_lo_237",+,3,3,0,3,1283,8.715754859226283,4.0,0.0,0.0,3.41062527645266,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.561541781353096,2.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_012199),5,ENSG00000092847,AGO1,argonaute RISC component 1,protein-coding,promoter-TSS,0.085,0.690516,False,False,False,False,False,False,False,Low
